Posição;NDCG
1;1.0
2;1.0
3;0.7601875334318685
4;0.7601875334318685
5;0.9238850086262381
6;0.9238850086262381
7;0.9238850086262381
8;0.9238850086262381
9;0.9238850086262381
10;0.9238850086262381
