Posição;NDCG
1;1.0
2;1.0
3;0.7601875334318685
4;0.7601875334318685
5;0.7601875334318685
6;0.9072278740982787
7;0.9072278740982787
8;0.9072278740982787
9;0.9072278740982787
10;0.9072278740982787
